municipio,regiao,sigla
suzano,grande são paulo,sp
mogi das cruzes,grande são paulo,sp
poa,grande são paulo,sp
itaquaquecetuba,grande são paulo,sp
ferraz de vasconcelos,grande são paulo,sp
aruja,grande são paulo,sp
guararema,grande são paulo,sp
santa isabel,grande são paulo,sp
